Sessions,SKU de produit,Nom des produits
1,24781268,"Bastaing Sapin/Epicéa traitement Classe 2 section 50x150mm long.5,00m"
1,24781398,"Poutre Sapin/Epicéa section 150x150mm long.2,50m"
1,24781411,"Poutre Sapin/Epicéa section 150x150mm long.3,00m"
1,24781800,"Planche de coffrage Sapin/Epicéa section 27x200mm long.5,00m"
1,24786331,Brosse spéciale pour peinture acrylique manche polypropylène - lot de 3 pièces
1,24790475,Porte d'entrée PVC GALLUS blanc vitrage demi-lune dormant 60 mm - 215 x 90 cm - gauche poussant
1,24807357,Tuile PLATE 17x27 phalempin - vieilli - 500
1,24819985,Rehausse béton RH30 avec emboitement int.30x30X20cm ext.36x36x20cm
1,24820066,Rehausse béton RH50 avec emboitement int.50x50X34cm ext.59x59x34cm
1,24838146,"Treillis soudé PAFC Ø4,5 - maille 20 x 20 - L.3,60 x l.2,40 m"
1,24845540,Géotextile BIDIM WEED STOP S - 25x1m
1,24893053,"Peinture sol semi-brillante intérieur-extérieur 2,5L gris souris"
1,24893121,"Peinture sol semi-brillante intérieur-extérieur 0,5L pierre"
1,24893138,"Peinture sol semi-brillante intérieur-extérieur 2,5L pierre"
1,24894111,"Laque satinée glycéro intérieur-extérieur 0,5L noir"
1,24894210,"Peinture fer antirouille intérieur-extérieur 0,5L vert mousse"
1,24894685,"Lasure bois glycéro ADDICT chêne rustique - pot de 0,75l"
1,24900225,Bloc béton creux 1 lame B40 - 15x20x50cm
1,24900362,"Planelle de rive béton - 6,2x19x100cm"
1,24901147,"Madrier Sapin/Epicéa traitement Classe 2 section 250X100mm long.5,00m"
1,24901154,"Madrier Sapin/Epicéa traitement Classe 2 section 250X100mm long.6,00m"
1,24905237,Brouette VERTE roue simple - 90l
1,24914246,"Tablette Sapin du nord B/C - 300 x 18 mm L.2,00 m"
1,24915298,Plan de travail lamellé collé abouté chêne brut - 250 x 65 cm ép.36 mm
1,24929752,Panneau OSB 3 - 2500 x 1250 x 12 mm
1,24934008,"Bastaing Sapin/Epicéa traitement Classe 2 section 240x120mm long.5,00m"
1,24934015,"Bastaing Sapin/Epicéa traitement Classe 2 section 240x120mm long.6,00m"
1,24935777,Bois Massif Abouté (BMA) Sapin/Epicéa traitement Classe 2 section 45x145 long.6m
1,24937337,Bois Massif Abouté (BMA) Sapin/Epicéa non traité section 45x220 long.5m
1,25033304,Tuile NEOPLATE - chevreuse - 333
1,25065817,Chapeau de cheminée béton ASP VENTYL int.30x30cm ext.54x54cm
1,25066104,Regard béton RMJ40 de bouclage 5 entrée à joints int.42x42x25cm ext.46x46x28
1,25066623,Essemble caniveau DRAINYL CP100 + grille caillebotisDRAINYL CP100
1,25119060,Trappe de visite métallique laquée blanche - 500 x 500 mm
1,25171570,Mortier WEBER CHAPE LEGERE - sac de 25kg
1,25176391,Mortier REPARATION DE PIERRE TF 26-7041 - sac de 25kg
1,25213799,Mortier pour système ITE WEBERTHERM XM - sac de 25kg
1,25282672,Panneau JACKOBOARD PLANO à carreler ou à peindre - 260x60cm. Ep.20mm
1,25286595,Raccord pour fenêtre VELUX sur ardoises EDN MK08 type 0000 pose encastrée
1,25362572,"Plaque de plâtre ignifuge FIREPANEL A1 BD12,5 - 2,50 x 1,20 m"
1,25377989,"Laine de verre ULTRACOUSTIC non revêtue - 8 x 0,6 m Ep.45 mm - R=1,20m².K/W."
1,25386165,1/2 tuile OCCITANE silvacane littoral - UT002
1,25397949,Tuile CHARTREUSE brun vieilli - CH001
1,25397956,Tuile CHARTREUSE brun masse - CH001
1,25405019,"Tuile CANAL MIDI 50 x 21,5 cm - silvacane littoral"
1,25405330,Tuile rive droite REGENCE brun vieilli - RGC46
1,25409888,Tuile GALLO-ROMANE brun masse - GL601
1,25426427,"Plaque ondulée FR 5 ondes standard teinte naturelle - 1,525x0,918m"
1,25426434,"Plaque ondulée FR 5 ondes standard teinte naturelle - 1,585x0,918m"
1,25509878,Double tuile GRAND SUD galia - Q33
1,25573459,Membrane d'étanchéité SOPRALENE FLAM 180 - rouleau de 6x1m
1,25660852,Extracteur statique SEBICAPE pour souche avec simple enduit - conduit 20x20cm
1,25675788,"Treillis soudé PAF10 D5,5 maille 20x20 - panneau 4,20x2,40m"
1,25675894,"Treillis soudé ST65C D9 maille 10x10 - panneau 6x2,40m"
1,25681987,"Liteau Sapin/Epicéa section 28x38mm long.4,00m"
1,25685275,Regard hydraulique de trottoir C250 à cadre carré 70x70cm
1,25686500,"Tablette mélaminée 2 chants ép.18mm larg.60cm long.3,05m Blanc givré"
1,25714487,Chainage 4HA10 - cadre 30/40cm - 15x30cm 6m
1,25716641,Chainage 3HA8 - cadre 30/40cm - 10x10cm 6m
1,25727999,"Panneau BRICO D3,5 maille 15x17 - 2,40x1,20m"
1,25728323,"Panneau gabion 50x50cm maille 10x5cm diamètre fil 4,5mmx4,5 galvanisé"
1,25748918,Bordure béton A2 classe T gris - 100x15x20cm
1,25749083,Bordure béton AC2 granité - 100x27x18cm
1,25750003,"Bloc béton FORTIN gris - 20x52x13,5cm"
1,25752250,Dalle grabillonnée R50 crème fond blanc - 50x50x4cm
1,25754353,"Pavé béton ARVOR vieilli saumon nuancé - 12,5x12,5x5cm"
1,25777420,Enduit facade PRB 85H ton pierre 015 - sac de 25kg
1,25778700,Enduit facade PRB 85H blanc de Noirmoutier 013 - sac de 25kg
1,25802016,Enduit parement BELLE EPOQUE GM Vallée de Sèvres 012 - sac de 25 kg
1,25850819,Mortier de façade COLORCHAUSABLE TF sac 35kg teinte 029
1,25858402,Bloc béton creux 1 alvéole B40 CE/NF - 10x20x50cm
1,25858518,Bloc béton angle CE/NF - 20x20x50cm
1,25858525,Bloc béton à bancher CE/NF - 20x20x50cm
1,25936261,Poutrelle en béton précontraint RSE 133 - L.3 m
1,25958713,Bloc béton creux végétalisable BETOFLOR ton pierre
1,25958768,Bloc module béton creux végétalisable BETOJARD ton pierre - 25x20x50cm
1,25958904,Bloc béton maxi B40 - 15x25x50cm
1,25959130,Bloc béton creux B40 - 25x20x50cm
1,25975178,Cisaille Pélican passe-franc coupe droite pour droitier - 300mm
1,25987669,Marteau de couvreur manche cuir panne courte pour gaucher
1,25994483,Drain annelé PVC D100 - couronne de 25m
1,26045580,Solin joint mastic nuance zinc avec bavette 20cm en plomb plissé rouge long.2m
1,26049656,"Joint creux Aluminium laqué ép.10mm long.3,00m"
1,26070247,Stabilisateur de graviers MINERIALE EASY simple dalle - 120 x 80 x 3 cm - blanc
1,26071718,Gaine ICTA avec tire-fils D20 - 100m
1,26074375,"Madrier Sapin/Epicéa Choix 2 traité section 75x200mm long.5,00m"
1,26074610,"Bastaing Sapin/Epicéa Choix 2 section 63x175mm long.4,50m"
1,26075068,"Chevron Sapin/Epicéa Choix 2 section 75x115mm long.4,00m"
1,26075280,"Chevron Sapin/Epicéa Choix 2 section 50x50mm long.4,00m"
1,26103167,Béton prêt à l'emploi PRB BÉTON Gris - sac de 30 kg
1,26121093,"Doublage polystyrène graphite PREGYTHERM BA10+40 - 2,50 x 1,20 m - R=1,15m².K/W"
1,26248691,Peinture organique CRYLANE J39 sable d'athènes - seau de 20kg
1,26252339,Toile de verre TV10N - rouleau de 50X1m
1,26257778,Joint de carrelage 547 PROLIJOINT RUSTIC rose - sac de 25kg
1,26273099,"Joint de carrelage décoratif 5046 ELIT noir - boite de 2,5kg"
1,26298009,Gravillon 4/14 roulé lavé recomposé blanc de marne big bag de 1m3
1,26349985,Tuyau AQUATUB CR8 en PE-HD avec tulipe intégrée + joint - diamètre nominal 400+300mm - barre de 6m
1,26351629,Drain agricole EURODRAIN en PVC-U perforé - diamètre nominal 65mm - couronne de 50m
1,26373188,"Teinte pour lambris pin des Landes massif CALLAO - pot de 0,25l - hermine"
1,26407081,"Joint d'étanchéité TP600 Illmod anthracite 20/5-11 5,6m - boîte de 3 rouleaux"
1,26426266,Lame clôture PVC à emboiter - h.20 x L.300 x ép.3 cm - blanc
1,26426952,Vernis pavés briques mat - pot 1l
1,26450391,Socle d'escalier en hêtre finition 2 angles arrondis - haut.22cm
1,26475868,"Bande de rive zinc naturel - 2000x250x0,65mm"
1,26507088,Tube d'évacuation PVC INTERPACT M1 D100 - 4m
1,26528526,Enduit de ragréage autolissant fibré WEBERNIV FOR - sac de 25kg
1,26584539,Pierre naturelle SOLNHOFEN ép.8/12mm palette 40m2
1,26690087,Ponceuse excentrique 270W PEX 300 AE
1,26714837,Détendeur Propane Twiny
1,26715148,Scie plongeante 1300WW 165mm
1,26830766,Piquet de chantier - 40 x 40 mm L.1 m
1,26838557,"Doublage polyuréthane extrudé KTHANE SOL RB4 - 1,2 x 1 m Ep.24 mm - R=1,05m².K/W"
1,26863498,Lambourde composite pour lame de terrasse gris anthracite - 50x50mm 4m
1,26864891,"Lame de terrasse bois exotique IPE - 21x145mm 2,45m"
1,26872148,Sable 03 - sac de 25kg
1,26896854,Bombe aérosols pour carroserie VEHIDECOR coloris noir métal - aérosol de 400ml 
1,26907871,"Film sous dallage en polyéthylène 150 microns - 33,33 x 6 m"
1,26954141,Peinture bois PE B45 satin blanc - pot 5l
1,26954387,"Peinture bois PE B60 satin blanc - pot 0,5l"
1,27008874,"Echafaudage PIEGO GRAND PUBLIC pliable h.travail - 2,90m"
1,27066263,Boîte aux lettres PREFACE 1 porte - ivoire
1,27066997,Manille lyre avec piton à il acier allié galvanisé haute résistance axe 22mm larg.int.32mm - charge maximale 4750kg
1,27196977,Enduit d'imperméabilisation de façade WEBERPRAL F 016 ton pierre - sac de 25kg
1,27204221,Enduit d'imperméabilisation de façade WEBERPRAL F 000 blanc - sac de 25kg
1,27221952,Madrier sapin traité vosgges - 75x225mm 8m
1,27222997,Poutre sapin - 150x150mm 4m
1,27238370,"Doublage polyuréthane POLYPLAC THANE F 13+50 - 2,50 x 1,20 m - R=2,45m².K/W"
1,27273777,"Echafaudage PENNY GRAND PUBLIC h.travail - 2,90m"
1,27511893,Bloc-porte alvéolaire KAORI gravé à peindre à recouvrement H.Néolys 90x49mm - 204 x 73 cm - gauche poussant - serrure PDDT
1,27512517,Bloc-porte alvéolaire KETCH gravé à peindre à recouvrement H.Néolys 74x49mm - 204 x 73 cm - gauche poussant - serrure PDDT
1,27513446,"Bois massif abouté pin sylvestre - 60 x 80 mm L.4,20 m"
1,27513453,"Bois massif abouté pin sylvestre - 80 x 220 mm L.4,20 m"
1,27543979,Module Q-BIC PLUS 416L - 1200x600x600mm
1,27601372,Portillon bois pour clôture plate - L.1 x h.1 m
1,27631904,Aspirateur inox eau et poussière 30l - 1400W
1,27666562,Pompe évacuation ECC PRO 300 1200W pour eaux chargées
1,27667026,Enduit d'imperméabilisation de façade WEBERLITE F 000 blanc - sac de 25kg
1,27671023,Enduit d'imperméabilisation de façade WEBERLITE F 082 rose orange - sac de 25kg
1,27672358,Vis penture STARBLOCK tête large acier zingué noir 6 x 40 mm - boîte carton bec verseur de 200 pièces
1,27681046,Lève plaque à crémaillère EDMAPLAC 450
1,27730478,Porte seule alvéolaire rainuré KAORI prépeint - 204x73cm
